264	(CBBADA,CBBACB)	(52.265625,52.34375,5.03125,5.109375,52.265625,52.34375,4.953125,5.03125)
256	(CADC,CADD)	(51.25,51.5625,3.625,3.9375,51.25,51.5625,3.9375,4.25)
253	(CADD,CADC)	(51.25,51.5625,3.9375,4.25,51.25,51.5625,3.625,3.9375)
252	(BCAD,BCBC)	(53.125,53.4375,5.8125,6.125,53.125,53.4375,6.125,6.4375)
252	(DAACC,DAACA)	(51.875,52.03125,5.5,5.65625,52.03125,52.1875,5.5,5.65625)
251	(BCBC,BCAD)	(53.125,53.4375,6.125,6.4375,53.125,53.4375,5.8125,6.125)
250	(DAACA,DAACC)	(52.03125,52.1875,5.5,5.65625,51.875,52.03125,5.5,5.65625)
249	(CBCBAA,CBCBAB)	(51.796875,51.875,4.5625,4.640625,51.796875,51.875,4.640625,4.71875)
247	(CBCBAB,CBCBAA)	(51.796875,51.875,4.640625,4.71875,51.796875,51.875,4.5625,4.640625)
246	(CBACBD,CBACBC)	(52.03125,52.109375,4.484375,4.5625,52.03125,52.109375,4.40625,4.484375)
243	(CBACBC,CBACBD)	(52.03125,52.109375,4.40625,4.484375,52.03125,52.109375,4.484375,4.5625)
242	(DBAACA,DBAACC)	(52.265625,52.34375,6.75,6.828125,52.1875,52.265625,6.75,6.828125)
240	(BCBDD,BDA)	(53.125,53.28125,6.59375,6.75,53.125,53.75,6.75,7.375)
240	(BCAD,BCCBB)	(53.125,53.4375,5.8125,6.125,52.96875,53.125,5.96875,6.125)
237	(BDA,BCBDD)	(53.125,53.75,6.75,7.375,53.125,53.28125,6.59375,6.75)
233	(DBAACC,DBAACA)	(52.1875,52.265625,6.75,6.828125,52.265625,52.34375,6.75,6.828125)
232	(BCCBB,BCAD)	(52.96875,53.125,5.96875,6.125,53.125,53.4375,5.8125,6.125)
230	(DABCD,DABCC)	(51.875,52.03125,6.28125,6.4375,51.875,52.03125,6.125,6.28125)
226	(DABCC,DABCD)	(51.875,52.03125,6.125,6.28125,51.875,52.03125,6.28125,6.4375)
225	(CBBDD,DAACC)	(51.875,52.03125,5.34375,5.5,51.875,52.03125,5.5,5.65625)
224	(DACCD,DCAA)	(51.25,51.40625,5.65625,5.8125,50.9375,51.25,5.5,5.8125)
222	(BDCC,BCDD)	(52.5,52.8125,6.75,7.0625,52.5,52.8125,6.4375,6.75)
222	(DAACC,CBBDD)	(51.875,52.03125,5.5,5.65625,51.875,52.03125,5.34375,5.5)
220	(BCDB,BCBDCBD)	(52.8125,53.125,6.4375,6.75,53.203125,53.2421875,6.5546875,6.59375)
220	(DACAD,DACCB)	(51.5625,51.71875,5.65625,5.8125,51.40625,51.5625,5.65625,5.8125)
219	(CBABBA,CBABBB)	(52.421875,52.5,4.71875,4.796875,52.421875,52.5,4.796875,4.875)
218	(CBCBDD,CBCBDC)	(51.5625,51.640625,4.796875,4.875,51.5625,51.640625,4.71875,4.796875)
218	(DACCB,DACAD)	(51.40625,51.5625,5.65625,5.8125,51.5625,51.71875,5.65625,5.8125)
217	(BCDD,BDCC)	(52.5,52.8125,6.4375,6.75,52.5,52.8125,6.75,7.0625)
216	(CBDADA,CBDAC)	(51.640625,51.71875,5.03125,5.109375,51.5625,51.71875,4.875,5.03125)
216	(BCBDCBD,BCBDD)	(53.203125,53.2421875,6.5546875,6.59375,53.125,53.28125,6.59375,6.75)
215	(CBDAC,CBDADA)	(51.5625,51.71875,4.875,5.03125,51.640625,51.71875,5.03125,5.109375)
214	(DABBD,DABBB)	(52.1875,52.34375,6.59375,6.75,52.34375,52.5,6.59375,6.75)
214	(ADCDD,ADCDC)	(52.5,52.65625,4.71875,4.875,52.5,52.65625,4.5625,4.71875)
212	(CBCBDC,CBCBDD)	(51.5625,51.640625,4.71875,4.796875,51.5625,51.640625,4.796875,4.875)
211	(CBDBCB,CBDBA)	(51.640625,51.71875,5.265625,5.34375,51.71875,51.875,5.1875,5.34375)
210	(CBCBAB,CBCBAD)	(51.796875,51.875,4.640625,4.71875,51.71875,51.796875,4.640625,4.71875)
210	(DCAA,DACCD)	(50.9375,51.25,5.5,5.8125,51.25,51.40625,5.65625,5.8125)
210	(ADCDC,ADCDD)	(52.5,52.65625,4.5625,4.71875,52.5,52.65625,4.71875,4.875)
209	(DAABD,DABAC)	(52.1875,52.34375,5.96875,6.125,52.1875,52.34375,6.125,6.28125)
208	(BCBDCBD,BCDB)	(53.203125,53.2421875,6.5546875,6.59375,52.8125,53.125,6.4375,6.75)
208	(CBDBA,CBDBCB)	(51.71875,51.875,5.1875,5.34375,51.640625,51.71875,5.265625,5.34375)
206	(CBCBB,CBCBAB)	(51.71875,51.875,4.71875,4.875,51.796875,51.875,4.640625,4.71875)
205	(CBDCB,CBDAC)	(51.40625,51.5625,5.03125,5.1875,51.5625,51.71875,4.875,5.03125)
204	(ADCDD,CBABBA)	(52.5,52.65625,4.71875,4.875,52.421875,52.5,4.71875,4.796875)
204	(DABAC,DAABD)	(52.1875,52.34375,6.125,6.28125,52.1875,52.34375,5.96875,6.125)
204	(CBCBAD,CBCBAB)	(51.71875,51.796875,4.640625,4.71875,51.796875,51.875,4.640625,4.71875)
203	(CBABC,CBAA)	(52.1875,52.34375,4.5625,4.71875,52.1875,52.5,4.25,4.5625)
203	(BCBDD,BCBDCBD)	(53.125,53.28125,6.59375,6.75,53.203125,53.2421875,6.5546875,6.59375)
203	(CBCBAB,CBCBB)	(51.796875,51.875,4.640625,4.71875,51.71875,51.875,4.71875,4.875)
203	(DABBB,DABBD)	(52.34375,52.5,6.59375,6.75,52.1875,52.34375,6.59375,6.75)
202	(CBABBB,CBABBA)	(52.421875,52.5,4.796875,4.875,52.421875,52.5,4.71875,4.796875)
201	(CBABBA,ADCDD)	(52.421875,52.5,4.71875,4.796875,52.5,52.65625,4.71875,4.875)
197	(CBAA,CBABC)	(52.1875,52.5,4.25,4.5625,52.1875,52.34375,4.5625,4.71875)
195	(DCAC,DCADA)	(50.625,50.9375,5.5,5.8125,50.78125,50.9375,5.8125,5.96875)
195	(CBABAC,CBABC)	(52.34375,52.421875,4.5625,4.640625,52.1875,52.34375,4.5625,4.71875)
194	(DACCA,CBDDBDD)	(51.40625,51.5625,5.5,5.65625,51.40625,51.4453125,5.4609375,5.5)
194	(DCADA,DCAC)	(50.78125,50.9375,5.8125,5.96875,50.625,50.9375,5.5,5.8125)
193	(CBDAC,CBDCB)	(51.5625,51.71875,4.875,5.03125,51.40625,51.5625,5.03125,5.1875)
193	(CBABC,CBABAC)	(52.1875,52.34375,4.5625,4.71875,52.34375,52.421875,4.5625,4.640625)
193	(CBCAA,CBCAB)	(51.71875,51.875,4.25,4.40625,51.71875,51.875,4.40625,4.5625)
193	(CBCBDC,CBCBC)	(51.5625,51.640625,4.71875,4.796875,51.5625,51.71875,4.5625,4.71875)
193	(CBCBC,CBCBDC)	(51.5625,51.71875,4.5625,4.71875,51.5625,51.640625,4.71875,4.796875)
192	(CBADD,CBADCB)	(51.875,52.03125,4.71875,4.875,51.953125,52.03125,4.640625,4.71875)
191	(CBBCD,CBBCBCD)	(51.875,52.03125,5.03125,5.1875,52.03125,52.0703125,5.0703125,5.109375)
190	(BCCDDDD,BCCDDDC)	(52.5,52.5390625,6.0859375,6.125,52.5,52.5390625,6.046875,6.0859375)
188	(DAADCB,DAADCA)	(51.953125,52.03125,5.890625,5.96875,51.953125,52.03125,5.8125,5.890625)
187	(CBABAA,CBABAB)	(52.421875,52.5,4.5625,4.640625,52.421875,52.5,4.640625,4.71875)
186	(CBCAB,CBCAA)	(51.71875,51.875,4.40625,4.5625,51.71875,51.875,4.25,4.40625)
185	(CBDDBDD,DACCA)	(51.40625,51.4453125,5.4609375,5.5,51.40625,51.5625,5.5,5.65625)
184	(DAADCD,DAADCB)	(51.875,51.953125,5.890625,5.96875,51.953125,52.03125,5.890625,5.96875)
184	(CBADCB,CBADD)	(51.953125,52.03125,4.640625,4.71875,51.875,52.03125,4.71875,4.875)
181	(CBBDBB,CBBDBA)	(52.109375,52.1875,5.421875,5.5,52.109375,52.1875,5.34375,5.421875)
181	(DAADCB,DAADCD)	(51.953125,52.03125,5.890625,5.96875,51.875,51.953125,5.890625,5.96875)
181	(CBBCBCD,CBBCD)	(52.03125,52.0703125,5.0703125,5.109375,51.875,52.03125,5.03125,5.1875)
180	(CBACDDC,CBACDCD)	(51.875,51.9140625,4.484375,4.5234375,51.875,51.9140625,4.4453125,4.484375)
180	(CBACDCD,CBACDDC)	(51.875,51.9140625,4.4453125,4.484375,51.875,51.9140625,4.484375,4.5234375)
179	(CBACDCA,CBACCD)	(51.9140625,51.953125,4.40625,4.4453125,51.875,51.953125,4.328125,4.40625)
178	(CBBCBA,CBBCA)	(52.109375,52.1875,5.03125,5.109375,52.03125,52.1875,4.875,5.03125)
177	(CBACDCA,CBACDCBC)	(51.9140625,51.953125,4.40625,4.4453125,51.9140625,51.93359375,4.4453125,4.46484375)
176	(CBDBB,DACAA)	(51.71875,51.875,5.34375,5.5,51.71875,51.875,5.5,5.65625)
175	(CBABAB,CBABAA)	(52.421875,52.5,4.640625,4.71875,52.421875,52.5,4.5625,4.640625)
175	(CBACCD,CBACDCA)	(51.875,51.953125,4.328125,4.40625,51.9140625,51.953125,4.40625,4.4453125)
175	(CBBDBA,CBBDBB)	(52.109375,52.1875,5.34375,5.421875,52.109375,52.1875,5.421875,5.5)
174	(DAADCA,DAADCB)	(51.953125,52.03125,5.8125,5.890625,51.953125,52.03125,5.890625,5.96875)
174	(CBBCA,CBBCBA)	(52.03125,52.1875,4.875,5.03125,52.109375,52.1875,5.03125,5.109375)
173	(CBCBC,CBCD)	(51.5625,51.71875,4.5625,4.71875,51.25,51.5625,4.5625,4.875)
173	(BCCBC,BCCA)	(52.8125,52.96875,5.8125,5.96875,52.8125,53.125,5.5,5.8125)
173	(DBAACDD,DBAC)	(52.1875,52.2265625,6.8671875,6.90625,51.875,52.1875,6.75,7.0625)
172	(CBACDCBC,CBACDCA)	(51.9140625,51.93359375,4.4453125,4.46484375,51.9140625,51.953125,4.40625,4.4453125)
172	(CBACDDC,CBACDCBD)	(51.875,51.9140625,4.484375,4.5234375,51.9140625,51.93359375,4.46484375,4.484375)
171	(CBCD,CBCBDC)	(51.25,51.5625,4.5625,4.875,51.5625,51.640625,4.71875,4.796875)
